image_stem,encodings,project_group,source_category,rights_status,evidence_ref,note,recorded_date
images/infographics/infographic-reduce-energy-costs-commercial-glazing-florida,avif webp,images/infographics,acg_shot,owned,,"carried forward from the prior CSV, not re-derived",2026-09-08
images/infographics/infographic-reduce-glare-commercial-glass-solutions,avif webp,images/infographics,acg_shot,owned,,"carried forward from the prior CSV, not re-derived",2026-09-08
images/infographics/infographic-reliable-commercial-glass-company-florida,avif webp,images/infographics,acg_shot,owned,,"carried forward from the prior CSV, not re-derived",2026-09-08
images/infographics/infographic-repair-or-replace-commercial-glass,avif webp,images/infographics,acg_shot,owned,,"carried forward from the prior CSV, not re-derived",2026-09-08
images/infographics/infographic-savannas-ridge-clubhouse-glazing,avif webp,images/infographics,acg_shot,owned,,"carried forward from the prior CSV, not re-derived",2026-09-08
images/infographics/infographic-selecting-curtainwall-contractor-florida,avif webp,images/infographics,acg_shot,owned,,"carried forward from the prior CSV, not re-derived",2026-09-08
images/infographics/infographic-shoppes-westlake-point-glazing,avif webp,images/infographics,acg_shot,owned,,"carried forward from the prior CSV, not re-derived",2026-09-08
images/infographics/infographic-siena-lakes-naples-glazing,avif webp,images/infographics,acg_shot,owned,,"carried forward from the prior CSV, not re-derived",2026-09-08
images/infographics/infographic-single-vs-double-glazing-commercial-florida,avif webp,images/infographics,acg_shot,owned,,"carried forward from the prior CSV, not re-derived",2026-09-08
images/infographics/infographic-smart-glass-technology-commercial-florida,avif webp,images/infographics,acg_shot,owned,,"carried forward from the prior CSV, not re-derived",2026-09-08
images/infographics/infographic-south-florida-building-code-glazing,avif webp,images/infographics,acg_shot,owned,,"carried forward from the prior CSV, not re-derived",2026-09-08
images/infographics/infographic-sroa-vero-beach-glazing,avif webp,images/infographics,acg_shot,owned,,"carried forward from the prior CSV, not re-derived",2026-09-08
images/infographics/infographic-stayapt-suites-lafayette-glazing,avif webp,images/infographics,acg_shot,owned,,"carried forward from the prior CSV, not re-derived",2026-09-08
images/infographics/infographic-storage-king-winter-haven-glazing,avif webp,images/infographics,acg_shot,owned,,"carried forward from the prior CSV, not re-derived",2026-09-08
images/infographics/infographic-storefront-glass-installation-tampa,avif webp,images/infographics,acg_shot,owned,,"carried forward from the prior CSV, not re-derived",2026-09-08
images/infographics/infographic-storefront-glass-replacement-when-to-replace,avif webp,images/infographics,acg_shot,owned,,"carried forward from the prior CSV, not re-derived",2026-09-08
images/infographics/infographic-storefront-vs-curtainwall,avif webp,images/infographics,acg_shot,owned,,"carried forward from the prior CSV, not re-derived",2026-09-08
images/infographics/infographic-storefront-vs-curtainwall-vs-window-wall-difference,avif webp,images/infographics,acg_shot,owned,,"carried forward from the prior CSV, not re-derived",2026-09-08
images/infographics/infographic-storefront-vs-curtainwall-when-to-use-which,avif webp,images/infographics,acg_shot,owned,,"carried forward from the prior CSV, not re-derived",2026-09-08
images/infographics/infographic-storefronts-vs-windows-commercial-buildings,avif webp,images/infographics,acg_shot,owned,,"carried forward from the prior CSV, not re-derived",2026-09-08
images/infographics/infographic-tampa-commercial-construction-boom-glazing,avif webp,images/infographics,acg_shot,owned,,"carried forward from the prior CSV, not re-derived",2026-09-08
images/infographics/infographic-tradewinds-hobe-sound-glazing,avif webp,images/infographics,acg_shot,owned,,"carried forward from the prior CSV, not re-derived",2026-09-08
images/infographics/infographic-turbine-technologies-jupiter-glazing,avif webp,images/infographics,acg_shot,owned,,"carried forward from the prior CSV, not re-derived",2026-09-08
images/infographics/infographic-uv-protective-glass-commercial-florida,avif webp,images/infographics,acg_shot,owned,,"carried forward from the prior CSV, not re-derived",2026-09-08
images/infographics/infographic-villa-lonz-riviera-beach-glazing,avif webp,images/infographics,acg_shot,owned,,"carried forward from the prior CSV, not re-derived",2026-09-08
images/infographics/infographic-wave-food-hall-cocoa-beach-glazing,avif webp,images/infographics,acg_shot,owned,,"carried forward from the prior CSV, not re-derived",2026-09-08
images/infographics/infographic-wave-haven-cocoa-beach-glazing,avif webp,images/infographics,acg_shot,owned,,"carried forward from the prior CSV, not re-derived",2026-09-08
images/infographics/infographic-waxins-eurowall-clematis-street,avif webp,images/infographics,acg_shot,owned,,"carried forward from the prior CSV, not re-derived",2026-09-08
images/infographics/infographic-waxins-west-palm-beach-glazing,avif webp,images/infographics,acg_shot,owned,,"carried forward from the prior CSV, not re-derived",2026-09-08
images/infographics/infographic-weatherproof-commercial-windows-florida,avif webp,images/infographics,acg_shot,owned,,"carried forward from the prior CSV, not re-derived",2026-09-08
images/infographics/infographic-wesley-chapel-brandon-commercial-construction,avif webp,images/infographics,acg_shot,owned,,"carried forward from the prior CSV, not re-derived",2026-09-08
images/infographics/infographic-westlake-hialeah-retrofit-glazing,avif webp,images/infographics,acg_shot,owned,,"carried forward from the prior CSV, not re-derived",2026-09-08
images/infographics/infographic-what-are-impact-windows-commercial-guide,avif webp,images/infographics,acg_shot,owned,,"carried forward from the prior CSV, not re-derived",2026-09-08
images/infographics/infographic-what-does-a-glazing-contractor-do,avif webp,images/infographics,acg_shot,owned,,"carried forward from the prior CSV, not re-derived",2026-09-08
images/infographics/infographic-what-does-a-glazing-subcontractor-do,avif webp,images/infographics,acg_shot,owned,,"carried forward from the prior CSV, not re-derived",2026-09-08
images/infographics/infographic-what-is-a-curtainwall-system,avif webp,images/infographics,acg_shot,owned,,"carried forward from the prior CSV, not re-derived",2026-09-08
images/infographics/infographic-what-is-a-glazing-subcontractor,avif webp,images/infographics,acg_shot,owned,,"carried forward from the prior CSV, not re-derived",2026-09-08
images/infographics/infographic-what-is-a-product-approval-florida,avif webp,images/infographics,acg_shot,owned,,"carried forward from the prior CSV, not re-derived",2026-09-08
images/infographics/infographic-what-is-a-storefront-glazing-system,avif webp,images/infographics,acg_shot,owned,,"carried forward from the prior CSV, not re-derived",2026-09-08
images/infographics/infographic-what-is-a-window-wall-system,avif webp,images/infographics,acg_shot,owned,,"carried forward from the prior CSV, not re-derived",2026-09-08
images/infographics/infographic-what-is-division-08-construction,avif webp,images/infographics,acg_shot,owned,,"carried forward from the prior CSV, not re-derived",2026-09-08
images/infographics/infographic-what-is-division-08-glazing-construction,avif webp,images/infographics,acg_shot,owned,,"carried forward from the prior CSV, not re-derived",2026-09-08
images/infographics/infographic-what-is-low-e-glass-commercial,avif webp,images/infographics,acg_shot,owned,,"carried forward from the prior CSV, not re-derived",2026-09-08
images/infographics/infographic-what-to-know-before-replacing-commercial-windows-florida,avif webp,images/infographics,acg_shot,owned,,"carried forward from the prior CSV, not re-derived",2026-09-08
images/infographics/infographic-why-acg-opened-tampa-office,avif webp,images/infographics,acg_shot,owned,,"carried forward from the prior CSV, not re-derived",2026-09-08
images/infographics/infographic-why-commercial-windows-crack-prevention-florida,avif webp,images/infographics,acg_shot,owned,,"carried forward from the prior CSV, not re-derived",2026-09-08
images/infographics/infographic-why-does-commercial-glass-fog-up-and-how-to-fix-it,avif webp,images/infographics,acg_shot,owned,,"carried forward from the prior CSV, not re-derived",2026-09-08
images/infographics/infographic-why-hire-licensed-commercial-glazier-florida,avif webp,images/infographics,acg_shot,owned,,"carried forward from the prior CSV, not re-derived",2026-09-08
images/infographics/infographic-wild-blue-clubhouse-glazing,avif webp,images/infographics,acg_shot,owned,,"carried forward from the prior CSV, not re-derived",2026-09-08
images/infographics/infographic-window-wall-multifamily-guide,avif webp,images/infographics,acg_shot,owned,,"carried forward from the prior CSV, not re-derived",2026-09-08
images/infographics/infographic-window-wall-systems-florida-guide,avif webp,images/infographics,acg_shot,owned,,"carried forward from the prior CSV, not re-derived",2026-09-08
images/leadership/rielly-panther-national,avif jpg webp,images/leadership,acg_shot,owned,Connor 2026-09-09: ACG staff or made in-house,Shot by ACG staff or produced in-house.,2026-09-08
images/leadership/rielly-panther-national-original,avif jpg webp,images/leadership,acg_shot,owned,Connor 2026-09-09: ACG staff or made in-house,Shot by ACG staff or produced in-house.,2026-09-08
images/leadership/rielly-panther-square,jpg webp,images/leadership,acg_shot,owned,Connor 2026-09-09: ACG staff or made in-house,Shot by ACG staff or produced in-house.,2026-09-08
images/logos/eswindows,png,images/logos,acg_shot,owned,Connor 2026-09-09: ACG staff or made in-house,Shot by ACG staff or produced in-house.,2026-09-08
images/logos/gcs/curran-young-construction,png webp,images/logos/gcs,gc_supplied,permission_verbal,"Connor 2026-09-09: displayed with GC permission, not yet in writing",Third-party trade mark. D10 requires licensed_written for gc_supplied.,2026-09-08
images/logos/gcs/hooks-construction,png webp,images/logos/gcs,gc_supplied,permission_verbal,"Connor 2026-09-09: displayed with GC permission, not yet in writing",Third-party trade mark. D10 requires licensed_written for gc_supplied.,2026-09-08
images/logos/gcs/made-in-rio,png webp,images/logos/gcs,gc_supplied,permission_verbal,"Connor 2026-09-09: displayed with GC permission, not yet in writing",Third-party trade mark. D10 requires licensed_written for gc_supplied.,2026-09-08
images/logos/gcs/proctor-construction,png webp,images/logos/gcs,gc_supplied,permission_verbal,"Connor 2026-09-09: displayed with GC permission, not yet in writing",Third-party trade mark. D10 requires licensed_written for gc_supplied.,2026-09-08
images/logos/gcs/rycon-construction,png webp,images/logos/gcs,gc_supplied,permission_verbal,"Connor 2026-09-09: displayed with GC permission, not yet in writing",Third-party trade mark. D10 requires licensed_written for gc_supplied.,2026-09-08
images/padel-club,jpg webp,images,acg_shot,owned,Connor 2026-09-09: ACG staff or made in-house,Shot by ACG staff or produced in-house.,2026-09-08
images/partners/eswindows/logo-tag,png,images/partners/eswindows,manufacturer_supplied,permission_verbal,"Connor 2026-09-09: used with manufacturer permission, not yet in writing",D10 obligation 4 requires licensed_written for manufacturer_supplied. Verbal is not enough to clear publication.,2026-09-08
images/partners/eswindows/product-es8000,jpg png webp,images/partners/eswindows,manufacturer_supplied,permission_verbal,"Connor 2026-09-09: used with manufacturer permission, not yet in writing",D10 obligation 4 requires licensed_written for manufacturer_supplied. Verbal is not enough to clear publication.,2026-09-08
images/partners/eurowall/logo,png,images/partners/eurowall,manufacturer_supplied,permission_verbal,"Connor 2026-09-09: used with manufacturer permission, not yet in writing",D10 obligation 4 requires licensed_written for manufacturer_supplied. Verbal is not enough to clear publication.,2026-09-08
images/partners/eurowall/logo-white,png,images/partners/eurowall,manufacturer_supplied,permission_verbal,"Connor 2026-09-09: used with manufacturer permission, not yet in writing",D10 obligation 4 requires licensed_written for manufacturer_supplied. Verbal is not enough to clear publication.,2026-09-08
images/partners/eurowall/product-folding,avif jpg webp,images/partners/eurowall,manufacturer_supplied,permission_verbal,"Connor 2026-09-09: used with manufacturer permission, not yet in writing",D10 obligation 4 requires licensed_written for manufacturer_supplied. Verbal is not enough to clear publication.,2026-09-08
images/partners/eurowall/product-multislide,avif jpg webp,images/partners/eurowall,manufacturer_supplied,permission_verbal,"Connor 2026-09-09: used with manufacturer permission, not yet in writing",D10 obligation 4 requires licensed_written for manufacturer_supplied. Verbal is not enough to clear publication.,2026-09-08
images/partners/eurowall/product-pivot,avif jpg webp,images/partners/eurowall,manufacturer_supplied,permission_verbal,"Connor 2026-09-09: used with manufacturer permission, not yet in writing",D10 obligation 4 requires licensed_written for manufacturer_supplied. Verbal is not enough to clear publication.,2026-09-08
images/partners/eurowall/product-windows,avif jpg webp,images/partners/eurowall,manufacturer_supplied,permission_verbal,"Connor 2026-09-09: used with manufacturer permission, not yet in writing",D10 obligation 4 requires licensed_written for manufacturer_supplied. Verbal is not enough to clear publication.,2026-09-08
images/partners/eurowall/project-alkai-estates,avif jpg webp,images/partners/eurowall,manufacturer_supplied,permission_verbal,"Connor 2026-09-09: used with manufacturer permission, not yet in writing",D10 obligation 4 requires licensed_written for manufacturer_supplied. Verbal is not enough to clear publication.,2026-09-08
images/partners/eurowall/project-allen-residence,avif jpg webp,images/partners/eurowall,manufacturer_supplied,permission_verbal,"Connor 2026-09-09: used with manufacturer permission, not yet in writing",D10 obligation 4 requires licensed_written for manufacturer_supplied. Verbal is not enough to clear publication.,2026-09-08
images/partners/eurowall/project-american-harvest,avif jpg webp,images/partners/eurowall,manufacturer_supplied,permission_verbal,"Connor 2026-09-09: used with manufacturer permission, not yet in writing",D10 obligation 4 requires licensed_written for manufacturer_supplied. Verbal is not enough to clear publication.,2026-09-08
images/partners/eurowall/project-american-harvest-OLD,avif jpg webp,images/partners/eurowall,manufacturer_supplied,permission_verbal,"Connor 2026-09-09: used with manufacturer permission, not yet in writing",D10 obligation 4 requires licensed_written for manufacturer_supplied. Verbal is not enough to clear publication.,2026-09-08
images/partners/eurowall/project-andco,avif jpg webp,images/partners/eurowall,manufacturer_supplied,permission_verbal,"Connor 2026-09-09: used with manufacturer permission, not yet in writing",D10 obligation 4 requires licensed_written for manufacturer_supplied. Verbal is not enough to clear publication.,2026-09-08
images/partners/eurowall/project-hero-multislide,avif jpg webp,images/partners/eurowall,manufacturer_supplied,permission_verbal,"Connor 2026-09-09: used with manufacturer permission, not yet in writing",D10 obligation 4 requires licensed_written for manufacturer_supplied. Verbal is not enough to clear publication.,2026-09-08
images/partners/eurowall/project-lemoyne-interior,avif jpg webp,images/partners/eurowall,manufacturer_supplied,permission_verbal,"Connor 2026-09-09: used with manufacturer permission, not yet in writing",D10 obligation 4 requires licensed_written for manufacturer_supplied. Verbal is not enough to clear publication.,2026-09-08
images/partners/eurowall/project-oilnutbay,avif jpg webp,images/partners/eurowall,manufacturer_supplied,permission_verbal,"Connor 2026-09-09: used with manufacturer permission, not yet in writing",D10 obligation 4 requires licensed_written for manufacturer_supplied. Verbal is not enough to clear publication.,2026-09-08
images/partners/eurowall/project-yeti,avif jpg webp,images/partners/eurowall,manufacturer_supplied,permission_verbal,"Connor 2026-09-09: used with manufacturer permission, not yet in writing",D10 obligation 4 requires licensed_written for manufacturer_supplied. Verbal is not enough to clear publication.,2026-09-08
images/projects/1172-s-harbor/foyer-wine-cellar,avif jpg webp,images/projects/1172-s-harbor,acg_shot,owned,"Connor 2026-09-09: ACG staff, ACG equipment",Project photography shot by ACG staff on ACG equipment.,2026-09-08
images/projects/1172-s-harbor/hero-twilight,avif jpg webp,images/projects/1172-s-harbor,acg_shot,owned,"Connor 2026-09-09: ACG staff, ACG equipment",Project photography shot by ACG staff on ACG equipment.,2026-09-08
images/projects/1172-s-harbor/interior-living,avif jpg webp,images/projects/1172-s-harbor,acg_shot,owned,"Connor 2026-09-09: ACG staff, ACG equipment",Project photography shot by ACG staff on ACG equipment.,2026-09-08
images/projects/1172-s-harbor/interior-wide,jpg webp,images/projects/1172-s-harbor,acg_shot,owned,"Connor 2026-09-09: ACG staff, ACG equipment",Project photography shot by ACG staff on ACG equipment.,2026-09-08
images/projects/1172-s-harbor/patio-waterway,avif jpg webp,images/projects/1172-s-harbor,acg_shot,owned,"Connor 2026-09-09: ACG staff, ACG equipment",Project photography shot by ACG staff on ACG equipment.,2026-09-08
images/projects/1172-s-harbor/pool-twilight,avif jpg webp,images/projects/1172-s-harbor,acg_shot,owned,"Connor 2026-09-09: ACG staff, ACG equipment",Project photography shot by ACG staff on ACG equipment.,2026-09-08
images/projects/736-lagoon-dr/aerial-waterway,avif jpg webp,images/projects/736-lagoon-dr,acg_shot,owned,"Connor 2026-09-09: ACG staff, ACG equipment",Project photography shot by ACG staff on ACG equipment.,2026-09-08
images/projects/736-lagoon-dr/front-day,avif jpg webp,images/projects/736-lagoon-dr,acg_shot,owned,"Connor 2026-09-09: ACG staff, ACG equipment",Project photography shot by ACG staff on ACG equipment.,2026-09-08
images/projects/736-lagoon-dr/front-night,avif jpg webp,images/projects/736-lagoon-dr,acg_shot,owned,"Connor 2026-09-09: ACG staff, ACG equipment",Project photography shot by ACG staff on ACG equipment.,2026-09-08
images/projects/736-lagoon-dr/hero-pool-twilight,avif jpg webp,images/projects/736-lagoon-dr,acg_shot,owned,"Connor 2026-09-09: ACG staff, ACG equipment",Project photography shot by ACG staff on ACG equipment.,2026-09-08
images/projects/736-lagoon-dr/interior-living,jpg webp,images/projects/736-lagoon-dr,acg_shot,owned,"Connor 2026-09-09: ACG staff, ACG equipment",Project photography shot by ACG staff on ACG equipment.,2026-09-08
images/projects/736-lagoon-dr/master-bedroom,avif jpg webp,images/projects/736-lagoon-dr,acg_shot,owned,"Connor 2026-09-09: ACG staff, ACG equipment",Project photography shot by ACG staff on ACG equipment.,2026-09-08
images/projects/aspen-dental-edgewater/corner,avif jpg webp,images/projects/aspen-dental-edgewater,acg_shot,owned,"Connor 2026-09-09: ACG staff, ACG equipment",Project photography shot by ACG staff on ACG equipment.,2026-09-08
images/projects/aspen-dental-edgewater/hero-front,avif jpg webp,images/projects/aspen-dental-edgewater,acg_shot,owned,"Connor 2026-09-09: ACG staff, ACG equipment",Project photography shot by ACG staff on ACG equipment.,2026-09-08
images/projects/aspen-dental-edgewater/window-detail,avif jpg webp,images/projects/aspen-dental-edgewater,acg_shot,owned,"Connor 2026-09-09: ACG staff, ACG equipment",Project photography shot by ACG staff on ACG equipment.,2026-09-08
images/projects/atlantic-fields-golf-house/card-golden-hour,avif jpg webp,images/projects/atlantic-fields-golf-house,acg_shot,owned,"Connor 2026-09-09: ACG staff, ACG equipment",Project photography shot by ACG staff on ACG equipment.,2026-09-08
images/projects/atlantic-fields-golf-house/connor-facade,avif jpg webp,images/projects/atlantic-fields-golf-house,acg_shot,owned,"Connor 2026-09-09: ACG staff, ACG equipment",Project photography shot by ACG staff on ACG equipment.,2026-09-08
images/projects/atlantic-fields-golf-house/dining-interior,avif jpg webp,images/projects/atlantic-fields-golf-house,acg_shot,owned,"Connor 2026-09-09: ACG staff, ACG equipment",Project photography shot by ACG staff on ACG equipment.,2026-09-08
images/projects/atlantic-fields-golf-house/entrance-walkway,avif jpg webp,images/projects/atlantic-fields-golf-house,acg_shot,owned,"Connor 2026-09-09: ACG staff, ACG equipment",Project photography shot by ACG staff on ACG equipment.,2026-09-08
images/projects/atlantic-fields-golf-house/entry-path,avif jpg webp,images/projects/atlantic-fields-golf-house,acg_shot,owned,"Connor 2026-09-09: ACG staff, ACG equipment",Project photography shot by ACG staff on ACG equipment.,2026-09-08
images/projects/atlantic-fields-golf-house/hero-elevation,avif jpg webp,images/projects/atlantic-fields-golf-house,acg_shot,owned,"Connor 2026-09-09: ACG staff, ACG equipment",Project photography shot by ACG staff on ACG equipment.,2026-09-08
images/projects/atlantic-fields-golf-house/hero-golden-hour,avif jpg webp,images/projects/atlantic-fields-golf-house,acg_shot,owned,"Connor 2026-09-09: ACG staff, ACG equipment",Project photography shot by ACG staff on ACG equipment.,2026-09-08
images/projects/atlantic-fields-golf-house/hero-open-wall,avif jpg webp,images/projects/atlantic-fields-golf-house,acg_shot,owned,"Connor 2026-09-09: ACG staff, ACG equipment",Project photography shot by ACG staff on ACG equipment.,2026-09-08
images/projects/atlantic-fields-golf-house/interior-dining,avif jpg webp,images/projects/atlantic-fields-golf-house,acg_shot,owned,"Connor 2026-09-09: ACG staff, ACG equipment",Project photography shot by ACG staff on ACG equipment.,2026-09-08
images/projects/atlantic-fields-golf-house/interior-glass-wall,avif jpg webp,images/projects/atlantic-fields-golf-house,acg_shot,owned,"Connor 2026-09-09: ACG staff, ACG equipment",Project photography shot by ACG staff on ACG equipment.,2026-09-08
images/projects/atlantic-fields-golf-house/interior-lounge,avif jpg webp,images/projects/atlantic-fields-golf-house,acg_shot,owned,"Connor 2026-09-09: ACG staff, ACG equipment",Project photography shot by ACG staff on ACG equipment.,2026-09-08
images/projects/atlantic-fields-golf-house/lift-mechanism,avif jpg webp,images/projects/atlantic-fields-golf-house,acg_shot,owned,"Connor 2026-09-09: ACG staff, ACG equipment",Project photography shot by ACG staff on ACG equipment.,2026-09-08
images/projects/atlantic-fields-golf-house/og-social,jpg webp,images/projects/atlantic-fields-golf-house,acg_shot,owned,"Connor 2026-09-09: ACG staff, ACG equipment",Project photography shot by ACG staff on ACG equipment.,2026-09-08
images/projects/atlantic-fields-golf-house/open-panel-view,avif jpg webp,images/projects/atlantic-fields-golf-house,acg_shot,owned,"Connor 2026-09-09: ACG staff, ACG equipment",Project photography shot by ACG staff on ACG equipment.,2026-09-08
images/projects/atlantic-fields-golf-house/pro-shop,jpg webp,images/projects/atlantic-fields-golf-house,acg_shot,owned,"Connor 2026-09-09: ACG staff, ACG equipment",Project photography shot by ACG staff on ACG equipment.,2026-09-08
images/projects/atlantic-fields-golf-house/sliding-doors,avif jpg webp,images/projects/atlantic-fields-golf-house,acg_shot,owned,"Connor 2026-09-09: ACG staff, ACG equipment",Project photography shot by ACG staff on ACG equipment.,2026-09-08
images/projects/atlantic-fields-performance/card,avif jpg webp,images/projects/atlantic-fields-performance,acg_shot,owned,"Connor 2026-09-09: ACG staff, ACG equipment",Project photography shot by ACG staff on ACG equipment.,2026-09-08
images/projects/atlantic-fields-performance/gym-cardio-floor,avif jpg webp,images/projects/atlantic-fields-performance,acg_shot,owned,"Connor 2026-09-09: ACG staff, ACG equipment",Project photography shot by ACG staff on ACG equipment.,2026-09-08
images/projects/atlantic-fields-performance/hero-gym-interior,avif jpg webp,images/projects/atlantic-fields-performance,acg_shot,owned,"Connor 2026-09-09: ACG staff, ACG equipment",Project photography shot by ACG staff on ACG equipment.,2026-09-08
images/projects/atlantic-fields-performance/og-social,jpg webp,images/projects/atlantic-fields-performance,acg_shot,owned,"Connor 2026-09-09: ACG staff, ACG equipment",Project photography shot by ACG staff on ACG equipment.,2026-09-08
images/projects/atlantic-fields-performance/recovery-terrace,avif jpg webp,images/projects/atlantic-fields-performance,acg_shot,owned,"Connor 2026-09-09: ACG staff, ACG equipment",Project photography shot by ACG staff on ACG equipment.,2026-09-08
images/projects/atlantic-fields-sales-center/back-of-house-construction,avif jpg webp,images/projects/atlantic-fields-sales-center,acg_shot,owned,"Connor 2026-09-09: ACG staff, ACG equipment",Project photography shot by ACG staff on ACG equipment.,2026-09-08
images/projects/atlantic-fields-sales-center/community-aerial,jpg webp,images/projects/atlantic-fields-sales-center,acg_shot,owned,"Connor 2026-09-09: ACG staff, ACG equipment",Project photography shot by ACG staff on ACG equipment.,2026-09-08
images/projects/atlantic-fields-sales-center/hero-pavilion-glow,avif jpg webp,images/projects/atlantic-fields-sales-center,acg_shot,owned,"Connor 2026-09-09: ACG staff, ACG equipment",Project photography shot by ACG staff on ACG equipment.,2026-09-08
images/projects/atlantic-fields-sales-center/long-elevation-patio,avif jpg webp,images/projects/atlantic-fields-sales-center,acg_shot,owned,"Connor 2026-09-09: ACG staff, ACG equipment",Project photography shot by ACG staff on ACG equipment.,2026-09-08
images/projects/atlantic-fields-sales-center/racquet-context-aerial,avif jpg webp,images/projects/atlantic-fields-sales-center,acg_shot,owned,"Connor 2026-09-09: ACG staff, ACG equipment",Project photography shot by ACG staff on ACG equipment.,2026-09-08
images/projects/atlantic-fields-sales-center/site-plan-overhead,avif jpg webp,images/projects/atlantic-fields-sales-center,acg_shot,owned,"Connor 2026-09-09: ACG staff, ACG equipment",Project photography shot by ACG staff on ACG equipment.,2026-09-08
images/projects/atlantic-fields/development/fazio-course-sunset,jpg webp,images/projects/atlantic-fields/development,acg_shot,owned,"Connor 2026-09-09: ACG staff, ACG equipment",Project photography shot by ACG staff on ACG equipment.,2026-09-08
images/projects/atlantic-fields/development/interior-rendering-fireplace,jpg webp,images/projects/atlantic-fields/development,acg_shot,owned,"Connor 2026-09-09: ACG staff, ACG equipment",Project photography shot by ACG staff on ACG equipment.,2026-09-08
images/projects/atlantic-fields/development/interior-rendering-living,jpg webp,images/projects/atlantic-fields/development,acg_shot,owned,"Connor 2026-09-09: ACG staff, ACG equipment",Project photography shot by ACG staff on ACG equipment.,2026-09-08
images/projects/atlantic-fields/development/lakeside-dining-sunset,jpg webp,images/projects/atlantic-fields/development,acg_shot,owned,"Connor 2026-09-09: ACG staff, ACG equipment",Project photography shot by ACG staff on ACG equipment.,2026-09-08
images/projects/atlantic-fields/development/polo-match-sunset,jpg webp,images/projects/atlantic-fields/development,acg_shot,owned,"Connor 2026-09-09: ACG staff, ACG equipment",Project photography shot by ACG staff on ACG equipment.,2026-09-08
images/projects/atlantic-fields/development/portfolio-hero,avif jpg webp,images/projects/atlantic-fields/development,acg_shot,owned,"Connor 2026-09-09: ACG staff, ACG equipment",Project photography shot by ACG staff on ACG equipment.,2026-09-08
images/projects/atlantic-fields/development/racquet-club-aerial,avif jpg webp,images/projects/atlantic-fields/development,acg_shot,owned,"Connor 2026-09-09: ACG staff, ACG equipment",Project photography shot by ACG staff on ACG equipment.,2026-09-08
images/projects/baron-shoppes-tradition,avif jpg webp,images/projects,acg_shot,owned,"Connor 2026-09-09: ACG staff, ACG equipment",Project photography shot by ACG staff on ACG equipment.,2026-09-08
images/projects/bobcat-treasure-coast/aerial-exterior,avif jpg webp,images/projects/bobcat-treasure-coast,acg_shot,owned,"Connor 2026-09-09: ACG staff, ACG equipment",Project photography shot by ACG staff on ACG equipment.,2026-09-08
images/projects/bobcat-treasure-coast/interior-showroom,avif jpg webp,images/projects/bobcat-treasure-coast,acg_shot,owned,"Connor 2026-09-09: ACG staff, ACG equipment",Project photography shot by ACG staff on ACG equipment.,2026-09-08
images/projects/bobcat-treasure-coast/side-exterior,avif jpg webp,images/projects/bobcat-treasure-coast,acg_shot,owned,"Connor 2026-09-09: ACG staff, ACG equipment",Project photography shot by ACG staff on ACG equipment.,2026-09-08
images/projects/bradley-daytona,avif jpg webp,images/projects,acg_shot,owned,"Connor 2026-09-09: ACG staff, ACG equipment",Project photography shot by ACG staff on ACG equipment.,2026-09-08
images/projects/bradley-daytona-interior,jpg,images/projects,acg_shot,owned,"Connor 2026-09-09: ACG staff, ACG equipment",Project photography shot by ACG staff on ACG equipment.,2026-09-08
images/projects/bradley-daytona-pool,jpg webp,images/projects,acg_shot,owned,"Connor 2026-09-09: ACG staff, ACG equipment",Project photography shot by ACG staff on ACG equipment.,2026-09-08
images/projects/carib-circle/back,avif jpg webp,images/projects/carib-circle,acg_shot,owned,"Connor 2026-09-09: ACG staff, ACG equipment",Project photography shot by ACG staff on ACG equipment.,2026-09-08
images/projects/carib-circle/back2,avif jpg webp,images/projects/carib-circle,acg_shot,owned,"Connor 2026-09-09: ACG staff, ACG equipment",Project photography shot by ACG staff on ACG equipment.,2026-09-08
images/projects/carib-circle/bathroom,jpg webp,images/projects/carib-circle,acg_shot,owned,"Connor 2026-09-09: ACG staff, ACG equipment",Project photography shot by ACG staff on ACG equipment.,2026-09-08
images/projects/carib-circle/front,avif jpg webp,images/projects/carib-circle,acg_shot,owned,"Connor 2026-09-09: ACG staff, ACG equipment",Project photography shot by ACG staff on ACG equipment.,2026-09-08
images/projects/carib-circle/hero-twilight,avif jpg webp,images/projects/carib-circle,acg_shot,owned,"Connor 2026-09-09: ACG staff, ACG equipment",Project photography shot by ACG staff on ACG equipment.,2026-09-08
images/projects/carib-circle/interior,avif jpg webp,images/projects/carib-circle,acg_shot,owned,"Connor 2026-09-09: ACG staff, ACG equipment",Project photography shot by ACG staff on ACG equipment.,2026-09-08
images/projects/causeway-building/hero,avif jpg webp,images/projects/causeway-building,acg_shot,owned,"Connor 2026-09-09: ACG staff, ACG equipment",Project photography shot by ACG staff on ACG equipment.,2026-09-08
images/projects/compass-alton/aerial-courtyard,jpg webp,images/projects/compass-alton,acg_shot,owned,"Connor 2026-09-09: ACG staff, ACG equipment",Project photography shot by ACG staff on ACG equipment.,2026-09-08
images/projects/compass-alton/aerial-full,avif jpg webp,images/projects/compass-alton,acg_shot,owned,"Connor 2026-09-09: ACG staff, ACG equipment",Project photography shot by ACG staff on ACG equipment.,2026-09-08
images/projects/compass-alton/storefront,avif jpg webp,images/projects/compass-alton,acg_shot,owned,"Connor 2026-09-09: ACG staff, ACG equipment",Project photography shot by ACG staff on ACG equipment.,2026-09-08
